JobTitle,Department,QualificationRequired,ExamRequired,Salary
Indian Administrative Service,Railways,Master's Degree,Public Health Officer Exam,118000
Bank Probationary Officer,Railways,PhD,Tax Inspector Exam,75000
Civil Services,Railways,Master's Degree,Bank PO Exam,92000
Educational Services Officer,Railways,PhD,Railway Exam,81000
Civil Services,Railways,Bachelor's Degree,Forest Services Exam,120000
Forest Services Officer,Railways,Master's Degree,Bank PO Exam,67000
Indian Administrative Service,Railways,PhD,Civil Services Exam,102000
Educational Services Officer,Railways,Master's Degree,Forest Services Exam,73000
Indian Police Service,Railways,Bachelor's Degree,Railway Exam,101000
Railway Officer,Railways,PhD,SSC Exam,64000
Educational Services Officer,Railways,PhD,Education Services Exam,85000
Educational Services Officer,Railways,Bachelor's Degree,Railway Exam,90000
Bank Probationary Officer,Taxation Department,Master's Degree,Public Health Officer Exam,83000
Civil Services,Taxation Department,Bachelor's Degree,Education Services Exam,102000
Educational Services Officer,Taxation Department,Master's Degree,State PSC Exam,77000
Indian Administrative Service,Taxation Department,PhD,SSC Exam,105000
Indian Administrative Service,Taxation Department,Master's Degree,Railway Exam,119000
Public Health Officer,Taxation Department,Master's Degree,State PSC Exam,88000
Indian Administrative Service,Taxation Department,PhD,Public Health Officer Exam,125000
Bank Probationary Officer,Taxation Department,Bachelor's Degree,Bank PO Exam,70000
State Public Service Commission,Taxation Department,Bachelor's Degree,Forest Services Exam,98000
State Public Service Commission,Taxation Department,Bachelor's Degree,Tax Inspector Exam,94000
Bank Probationary Officer,Taxation Department,Master's Degree,Railway Exam,79000
Civil Services,Taxation Department,Master's Degree,Bank PO Exam,86000
Public Health Officer,Taxation Department,Bachelor's Degree,Forest Services Exam,85000
State Public Service Commission,Taxation Department,Master's Degree,Railway Exam,85000
Public Health Officer,Taxation Department,PhD,Bank PO Exam,79000
Civil Services,Taxation Department,PhD,Civil Services Exam,87000
Tax Inspector,Taxation Department,PhD,Bank PO Exam,62000
State Public Service Commission,Taxation Department,Bachelor's Degree,Public Health Officer Exam,91000
Forest Services Officer,Taxation Department,Bachelor's Degree,Tax Inspector Exam,83000
Educational Services Officer,Taxation Department,Master's Degree,Tax Inspector Exam,77000
Bank Probationary Officer,Taxation Department,Bachelor's Degree,Bank PO Exam,85000
Bank Probationary Officer,Taxation Department,Bachelor's Degree,Forest Services Exam,71000
Indian Administrative Service,Taxation Department,Bachelor's Degree,Forest Services Exam,102000
Bank Probationary Officer,Taxation Department,PhD,UPSC Exam,82000
Public Health Officer,Taxation Department,Master's Degree,Tax Inspector Exam,83000
Indian Administrative Service,Taxation Department,PhD,Forest Services Exam,108000
Indian Police Service,Taxation Department,PhD,Forest Services Exam,104000
Railway Officer,Taxation Department,Bachelor's Degree,UPSC Exam,85000
Railway Officer,Taxation Department,Master's Degree,Education Services Exam,63000
Railway Officer,Taxation Department,Bachelor's Degree,Forest Services Exam,95000
State Public Service Commission,Taxation Department,Master's Degree,Civil Services Exam,77000
Railway Officer,Taxation Department,Bachelor's Degree,Civil Services Exam,87000
Indian Police Service,Taxation Department,Master's Degree,Bank PO Exam,110000
State Public Service Commission,Taxation Department,PhD,SSC Exam,79000
Indian Administrative Service,Taxation Department,Bachelor's Degree,Tax Inspector Exam,101000
Forest Services Officer,Taxation Department,PhD,Civil Services Exam,69000
State Public Service Commission,Taxation Department,Master's Degree,Civil Services Exam,84000
State Public Service Commission,Taxation Department,PhD,Bank PO Exam,94000
Forest Services Officer,Taxation Department,Master's Degree,Forest Services Exam,83000
Educational Services Officer,Taxation Department,PhD,Forest Services Exam,74000
State Public Service Commission,Taxation Department,Master's Degree,SSC Exam,97000
Indian Administrative Service,Taxation Department,Bachelor's Degree,Public Health Officer Exam,120000
Educational Services Officer,Taxation Department,Master's Degree,Public Health Officer Exam,65000
Indian Police Service,Taxation Department,Master's Degree,UPSC Exam,91000
Indian Administrative Service,Taxation Department,Bachelor's Degree,UPSC Exam,128000
Forest Services Officer,Taxation Department,Bachelor's Degree,Railway Exam,76000
Civil Services,Taxation Department,PhD,Tax Inspector Exam,118000
Bank Probationary Officer,Taxation Department,Master's Degree,Tax Inspector Exam,62000
Tax Inspector,Taxation Department,PhD,Tax Inspector Exam,79000
Civil Services,Taxation Department,Master's Degree,Forest Services Exam,103000
Public Health Officer,Taxation Department,Master's Degree,UPSC Exam,65000
Indian Police Service,Taxation Department,Bachelor's Degree,Public Health Officer Exam,117000
Forest Services Officer,Taxation Department,PhD,Civil Services Exam,95000
Indian Administrative Service,Taxation Department,PhD,Public Health Officer Exam,91000
Tax Inspector,Taxation Department,Master's Degree,UPSC Exam,82000
Railway Officer,Taxation Department,Master's Degree,Public Health Officer Exam,88000
Railway Officer,Taxation Department,Master's Degree,Bank PO Exam,70000
Tax Inspector,Taxation Department,PhD,Civil Services Exam,61000
Indian Police Service,Taxation Department,Master's Degree,Railway Exam,97000
Indian Police Service,Taxation Department,PhD,State PSC Exam,97000
Educational Services Officer,Taxation Department,Master's Degree,Bank PO Exam,91000
Public Health Officer,Taxation Department,Bachelor's Degree,Education Services Exam,89000
Civil Services,Taxation Department,Master's Degree,SSC Exam,105000
Railway Officer,Taxation Department,Master's Degree,Railway Exam,82000
Indian Administrative Service,Taxation Department,Master's Degree,Civil Services Exam,102000
Indian Police Service,Taxation Department,Bachelor's Degree,Civil Services Exam,114000
Indian Administrative Service,Taxation Department,Master's Degree,Tax Inspector Exam,118000
Public Health Officer,Taxation Department,PhD,UPSC Exam,70000
Public Health Officer,Taxation Department,PhD,Tax Inspector Exam,65000
Forest Services Officer,Taxation Department,Master's Degree,Tax Inspector Exam,99000
Public Health Officer,Taxation Department,PhD,Railway Exam,80000
Indian Administrative Service,Taxation Department,PhD,Forest Services Exam,119000
Public Health Officer,Taxation Department,Master's Degree,SSC Exam,62000
Educational Services Officer,Taxation Department,Bachelor's Degree,State PSC Exam,66000
Bank Probationary Officer,Taxation Department,PhD,Education Services Exam,82000
Civil Services,Taxation Department,Bachelor's Degree,Railway Exam,99000
Public Health Officer,Taxation Department,PhD,Tax Inspector Exam,88000
Civil Services,Taxation Department,PhD,Bank PO Exam,100000
Public Health Officer,Taxation Department,PhD,Railway Exam,74000
Civil Services,Taxation Department,Master's Degree,State PSC Exam,102000
Civil Services,Taxation Department,PhD,Civil Services Exam,104000
Civil Services,Taxation Department,Bachelor's Degree,SSC Exam,108000
Civil Services,Taxation Department,Master's Degree,Bank PO Exam,86000
Indian Police Service,Taxation Department,Master's Degree,Education Services Exam,105000
Educational Services Officer,Taxation Department,PhD,Forest Services Exam,93000
Public Health Officer,Taxation Department,Bachelor's Degree,UPSC Exam,85000
Civil Services,Taxation Department,Bachelor's Degree,Education Services Exam,93000
Forest Services Officer,Taxation Department,PhD,Civil Services Exam,91000
Civil Services,Taxation Department,Bachelor's Degree,UPSC Exam,116000
Public Health Officer,Taxation Department,Bachelor's Degree,Forest Services Exam,76000
Indian Administrative Service,Taxation Department,PhD,Public Health Officer Exam,111000
Indian Administrative Service,Taxation Department,Master's Degree,Forest Services Exam,118000
Forest Services Officer,Taxation Department,Bachelor's Degree,Bank PO Exam,76000
Bank Probationary Officer,Taxation Department,Master's Degree,Education Services Exam,83000
State Public Service Commission,Taxation Department,PhD,State PSC Exam,84000
Public Health Officer,Taxation Department,PhD,Tax Inspector Exam,84000
Public Health Officer,Taxation Department,PhD,Railway Exam,68000
Indian Police Service,Taxation Department,Bachelor's Degree,Bank PO Exam,93000
Indian Police Service,Taxation Department,Master's Degree,Railway Exam,89000
Public Health Officer,Taxation Department,PhD,Railway Exam,81000
Railway Officer,Taxation Department,PhD,Tax Inspector Exam,95000
Indian Police Service,Taxation Department,Master's Degree,Bank PO Exam,104000
Educational Services Officer,Taxation Department,PhD,UPSC Exam,91000
Civil Services,Taxation Department,Bachelor's Degree,Education Services Exam,91000
Forest Services Officer,Taxation Department,PhD,Civil Services Exam,81000
State Public Service Commission,Taxation Department,Master's Degree,Bank PO Exam,99000
Indian Administrative Service,Taxation Department,Master's Degree,Civil Services Exam,119000
Forest Services Officer,Taxation Department,Master's Degree,UPSC Exam,82000
Railway Officer,Taxation Department,Master's Degree,Education Services Exam,89000
Indian Police Service,Taxation Department,Bachelor's Degree,Bank PO Exam,112000
Educational Services Officer,Taxation Department,PhD,Education Services Exam,89000
Railway Officer,Taxation Department,PhD,Bank PO Exam,61000
Bank Probationary Officer,Taxation Department,Master's Degree,Civil Services Exam,76000
Public Health Officer,Taxation Department,Bachelor's Degree,Bank PO Exam,84000
